word,total_quantity,360,360 featuring robyn & yung lean,365,365 featuring shygirl,Apple,Apple featuring the japanese house,B2b,B2b featuring tinashe,Club classics,Club classics featuring bb trickz,Everything is romantic,Everything is romantic featuring caroline polachek,"Girl, so confusing","Girl, so confusing featuring lorde",Guess,Guess featuring billie eilish,Hello goodbye,I might say something stupid,I might say something stupid featuring the 1975 & jon hopkins,I think about it all the time,I think about it all the time featuring bon iver,Mean girls,Mean girls featuring julian casablancas,Rewind,Rewind featuring bladee,So I,So I featuring a. g. cook,Spring breakers,Spring breakers featuring kesha,Sympathy is a knife,Sympathy is a knife featuring ariana grande,Talk talk,Talk talk featuring troye sivan,Von dutch,Von dutch a. g. cook remix featuring addison rae
with,40,2,4,0,0,0,0,0,0,1,0,5,0,0,1,4,4,0,0,0,0,1,3,3,0,2,0,4,2,0,1,0,0,2,0,1
classic,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
common,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
castle,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
360,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pills,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
j,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
must,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
pull,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
without,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
nеxt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
everywhere,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
confеss,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
coin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fire,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
young,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
