Week,Search
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,0
2024-02-25,0
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,<1
2024-06-09,1
2024-06-16,2
2024-06-23,4
2024-06-30,5
2024-07-07,10
2024-07-14,14
2024-07-21,100
2024-07-28,52
2024-08-04,41
2024-08-11,33
2024-08-18,34
2024-08-25,18
2024-09-01,17
2024-09-08,11
2024-09-15,8
2024-09-22,7
2024-09-29,6
2024-10-06,5
2024-10-13,6
2024-10-20,4
2024-10-27,4
2024-11-03,4
2024-11-10,3
2024-11-17,7
