Category: All categories

Week,Charli XCX: (United States)
2023-11-12,1
2023-11-19,1
2023-11-26,2
2023-12-03,1
2023-12-10,1
2023-12-17,1
2023-12-24,1
2023-12-31,1
2024-01-07,1
2024-01-14,1
2024-01-21,1
2024-01-28,2
2024-02-04,2
2024-02-11,2
2024-02-18,3
2024-02-25,4
2024-03-03,3
2024-03-10,2
2024-03-17,2
2024-03-24,4
2024-03-31,4
2024-04-07,3
2024-04-14,4
2024-04-21,6
2024-04-28,4
2024-05-05,7
2024-05-12,6
2024-05-19,4
2024-05-26,5
2024-06-02,16
2024-06-09,37
2024-06-16,30
2024-06-23,28
2024-06-30,22
2024-07-07,20
2024-07-14,19
2024-07-21,46
2024-07-28,40
2024-08-04,37
2024-08-11,27
2024-08-18,25
2024-08-25,21
2024-09-01,16
2024-09-08,18
2024-09-15,22
2024-09-22,30
2024-09-29,27
2024-10-06,28
2024-10-13,24
2024-10-20,18
2024-10-27,11
2024-11-03,9
2024-11-10,12
2024-11-17,100
